Body center of mass-x,Body center of mass-y,Body center of mass-z,7th cervical vertebrae-x,7th cervical vertebrae-y,7th cervical vertebrae-z,10th thoracic vertebrae-x,10th thoracic vertebrae-y,10th thoracic vertebrae-z,Jugular notch-x,Jugular notch-y,Jugular notch-z,Anterior superior iliac spine LT-x,Anterior superior iliac spine LT-y,Anterior superior iliac spine LT-z,Anterior superior iliac spine RT-x,Anterior superior iliac spine RT-y,Anterior superior iliac spine RT-z,Posterior superior iliac spine LT-x,Posterior superior iliac spine LT-y,Posterior superior iliac spine LT-z,Posterior superior iliac spine RT-x,Posterior superior iliac spine RT-y,Posterior superior iliac spine RT-z,Acromion LT-x,Acromion LT-y,Acromion LT-z,Acromion RT-x,Acromion RT-y,Acromion RT-z,Shoulder LT-x,Shoulder LT-y,Shoulder LT-z,Shoulder RT-x,Shoulder RT-y,Shoulder RT-z,Medial humeral epicondyle LT-x,Medial humeral epicondyle LT-y,Medial humeral epicondyle LT-z,Lateral humeral epicondyle LT-x,Lateral humeral epicondyle LT-y,Lateral humeral epicondyle LT-z,Elbow LT-x,Elbow LT-y,Elbow LT-z,Radial styloid process LT-x,Radial styloid process LT-y,Radial styloid process LT-z,Ulnar styloid process LT-x,Ulnar styloid process LT-y,Ulnar styloid process LT-z,Hand tip LT-x,Hand tip LT-y,Hand tip LT-z,Hip LT-x,Hip LT-y,Hip LT-z,Hip RT-x,Hip RT-y,Hip RT-z
-11.61995784,4.684101899,958.8448257,52.55717779,-15.77162858,1487.406488,90.55691743,-30.68568791,1209.122054,-38.34144977,16.61468572,1438.013591,-106.3842946,-116.5067668,968.4176907,-11.65438002,156.7695005,967.1195578,63.33903289,-78.44943366,962.6875,98.08552668,21.78703506,962.2113509,-43.4109106,-171.662061,1440.621664,78.69088442,164.1969864,1436.134199,-53.55138133,-170.9621121,1414.756363,70.24627195,169.5616442,1410.206572,-29.8865377,-169.2198333,1105.428699,-76.12801765,-183.2611358,1104.197354,-51.23497546,-179.800732,1104.78051,-52.24414879,-162.7586609,868.3524161,-19.28380969,-163.3102594,872.7461716,-20.86877636,-136.8947904,709.3136054,-46.76514025,-76.14886095,876.674012,9.9265075,87.39485118,875.8971371
-11.62299945,4.688393368,958.8460943,52.59176527,-15.78037635,1487.401485,90.56764878,-30.69269174,1209.114919,-38.31082052,16.61046721,1438.018844,-106.3931604,-116.5014941,968.4225084,-11.65351207,156.7713957,967.1236829,63.33114201,-78.45013981,962.6814956,98.08120605,21.78509002,962.2050924,-43.39079129,-171.6659513,1440.630159,78.72977045,164.186017,1436.12359,-53.53426931,-170.9657829,1414.766043,70.28241134,169.5507961,1410.196883,-29.86692631,-169.2060188,1105.438332,-76.10587615,-183.2553414,1104.203462,-51.21345287,-179.7905953,1104.787254,-52.22662253,-162.6605476,868.3587363,-19.26791137,-163.2272425,872.7627706,-20.79004153,-136.7589867,709.3381477,-46.7788418,-76.14378433,876.6756011,9.918631111,87.39790644,875.8983117
-11.62604145,4.69268488,958.8473635,52.62635175,-15.78912522,1487.396481,90.57837933,-30.69969578,1209.107783,-38.2801908,16.60624797,1438.024095,-106.4020255,-116.4962211,968.4273269,-11.65264378,156.7732907,967.1278079,63.32325069,-78.45084554,962.6754917,98.07688493,21.78314528,962.1988342,-43.37067112,-171.6698416,1440.638653,78.76865469,164.1750462,1436.112979,-53.51715627,-170.9694535,1414.775722,70.31854906,169.5399467,1410.187191,-29.84731718,-169.1922069,1105.447964,-76.08373555,-183.2495485,1104.209572,-51.19193192,-179.7804602,1104.793998,-52.20913334,-162.562436,868.3650835,-19.25205965,-163.1442298,872.7793912,-20.71133394,-136.6232161,709.3627483,-46.79254305,-76.13870726,876.6771912,9.910754914,87.40096197,875.8994868
-11.62908383,4.696976433,958.8486333,52.66093723,-15.79787519,1487.391473,90.58910909,-30.70670001,1209.100647,-38.24956061,16.60202801,1438.029345,-106.4108902,-116.490948,968.432146,-11.65177513,156.7751855,967.131933,63.31535893,-78.45155086,962.6694884,98.0725633,21.78120082,962.1925763,-43.35055008,-171.6737321,1440.647146,78.80753714,164.1640741,1436.102364,-53.50004222,-170.973124,1414.785401,70.3546851,169.5290961,1410.177497,-29.82771029,-169.1783976,1105.457596,-76.06159586,-183.243757,1104.215685,-51.1704126,-179.7703267,1104.800743,-52.19168123,-162.4643261,868.3714576,-19.23625454,-163.0612215,872.7960334,-20.63265361,-136.4874785,709.3874073,-46.80624402,-76.13362972,876.6787824,9.902878908,87.40401775,875.9006626
-11.63306346,4.701834168,958.8500469,52.70220569,-15.80721161,1487.38582,90.60244908,-30.71455606,1209.092041,-38.21288993,16.59664202,1438.034753,-106.4211058,-116.4851408,968.4381621,-11.65159993,156.7773841,967.136859,63.30611974,-78.45212022,962.66219,98.06713541,21.77930785,962.1848781,-43.3240884,-171.6787713,1440.657581,78.85222426,164.152084,1436.089143,-53.47690163,-170.9781936,1414.797139,70.39630426,169.5169791,1410.165251,-29.79833811,-169.1653749,1105.468347,-76.0291767,-183.2404966,1104.223612,-51.13873477,-179.7617821,1104.808814,-52.16993768,-162.3592411,868.3791473,-19.21624111,-162.9727146,872.8143289,-20.54686554,-136.3426744,709.414319,-46.82262435,-76.12780311,876.6808026,9.892717008,87.40768479,875.9020305
-11.63814988,4.70711389,958.851571,52.75014835,-15.81680737,1487.379625,90.61860088,-30.72303792,1209.081935,-38.17009205,16.59008548,1438.040034,-106.4325758,-116.4789803,968.4455338,-11.65239953,156.7798357,967.142519,63.29557115,-78.4525031,962.6535765,98.06050067,21.77756454,962.1756367,-43.2905436,-171.6849812,1440.669685,78.90228791,164.1394853,1436.073496,-53.44688448,-170.9847254,1414.81062,70.44306968,169.5039698,1410.150595,-29.75829015,-169.1539391,1105.479826,-75.9856012,-183.2404848,1104.233312,-51.09601256,-179.7555895,1104.818032,-52.14400491,-162.2514047,868.3879734,-19.19204606,-162.8822703,872.8336138,-20.45692022,-136.193481,709.4426672,-46.84172974,-76.12137161,876.6833346,9.879997371,87.41189664,875.9035381
-11.644513,4.712621708,958.8531694,52.80457056,-15.82629137,1487.373011,90.63770879,-30.73183427,1209.070339,-38.12120883,16.5825286,1438.044894,-106.4451664,-116.4726936,968.4544415,-11.65445074,156.7824539,967.1487649,63.2837856,-78.45267774,962.6436877,98.0525809,21.77604431,962.1647716,-43.24945192,-171.6922084,1440.682955,78.95728932,164.1267721,1436.055852,-53.40940215,-170.9925682,1414.825291,70.49465495,169.4905648,1410.133922,-29.70750501,-169.1445999,1105.491558,-75.9308645,-183.244067,1104.244595,-51.04222698,-179.7521836,1104.828108,-52.11441942,-162.1450657,868.397631,-19.16413256,-162.7933333,872.8531498,-20.36607569,-136.0438033,709.4716613,-46.86354265,-76.11456367,876.6864831,9.864491798,87.41650913,875.9050937
-11.65227824,4.71812468,958.8548039,52.86496801,-15.83526159,1487.366114,90.6597758,-30.74058047,1209.057342,-38.06654577,16.57432493,1438.049072,-106.4587146,-116.4665184,968.4650377,-11.65794449,156.7851219,967.1553659,63.27087683,-78.45267031,962.6326496,98.04336007,21.77476532,962.152268,-43.20081687,-171.7001134,1440.696707,79.01668603,164.114498,1436.03686,-53.36432659,-171.0013452,1414.840418,70.55064163,169.477358,1410.115851,-29.64695427,-169.1375774,1105.503038,-75.86600774,-183.2512472,1104.257135,-50.97840242,-179.7516859,1104.838674,-52.08226313,-162.0441153,868.4077322,-19.13351606,-162.7089159,872.8721929,-20.27782501,-135.8964627,709.500605,-46.88793704,-76.10767385,876.6903525,9.846114575,87.42130006,875.9065721
-11.6614719,4.723368963,958.8564366,52.93041067,-15.84330813,1487.359082,90.6845766,-30.74889689,1209.043138,-38.00681905,16.56597508,1438.052381,-106.4730218,-116.4606707,968.4773827,-11.6629172,156.7877036,967.1620211,63.25701786,-78.45256039,962.6206953,98.03292495,21.77367729,962.1382268,-43.14525378,-171.7082065,1440.710172,79.07968278,164.1032397,1436.017324,-53.31215112,-171.0104966,1414.855187,70.61035401,169.4649975,1410.09716,-29.5786747,-169.1328061,1105.513784,-75.79314102,-183.2617204,1104.270509,-50.90663185,-179.7539213,1104.84932,-52.04914535,-161.9518031,868.4178646,-19.10174864,-162.6314132,872.8900546,-20.19579039,-135.7532738,709.5289162,-46.91461873,-76.10103316,876.6950151,9.825019165,87.42598621,875.9078296
-11.67199311,4.728102613,958.8580323,52.99954408,-15.85002883,1487.352065,90.71163785,-30.75640911,1209.028035,-37.94318698,16.55807275,1438.054735,-106.487833,-116.4553431,968.4914084,-11.6692563,156.7900545,967.1683862,63.24245889,-78.45246159,962.6081599,98.02147352,21.77268423,962.1228815,-43.0839844,-171.7159017,1440.722613,79.14517125,164.0935649,1435.998099,-53.2539991,-171.0193465,1414.868822,70.67278372,169.4541405,1410.07869,-29.50554433,-169.1299198,1105.523392,-75.71521387,-183.2748762,1104.284239,-50.82984871,-179.7584119,1104.859647,-52.01696979,-161.8705375,868.4276537,-19.07068733,-162.5625194,872.9061507,-20.12345905,-135.6153848,709.5561081,-46.94309585,-76.09498486,876.7004912,9.801612231,87.43025307,875.9087212
